"genes","GSM399666","GSM399667","GSM399669","GSM399676","GSM399679","GSM399682","GSM399685","GSM399689","GSM399717","GSM399718","GSM399719","GSM399761","GSM399762","GSM399763","GSM399765","GSM399766","GSM1924651","GSM1924653","GSM1924657","GSM1924664","GSM1924667","GSM1924668","GSM1924674","GSM1924675","GSM1924676","GSM1924677","GSM1924680","GSM1924681","GSM1924682","GSM1924684","GSM1924685","GSM1924686","GSM1924687","GSM1924688","GSM1924689","GSM1924690","GSM1924691","GSM1924692","GSM1924693","GSM1924694","GSM1924695","GSM1924696","GSM1924697","GSM1924698"
"ABCA1","6.33716913899629","7.05936399560226","8.02762931439553","7.20539790775166","7.19941851764402","7.1162968764501","7.38945577618643","6.93723717680666","6.40386811396073","6.67807784590735","6.32063218345908","6.29861642884887","6.73457957610159","6.59004140465801","6.38610060961993","5.98726663664741","7.44560288315912","6.40717901036345","6.46326028774451","6.73153473609696","7.33918674986192","7.27121277648582","7.35295005675522","7.13544936028808","7.92143119987026","7.20717616982914","7.33719336962677","7.15063676695324","7.23608520329667","6.45167034081426","6.00698358633826","6.66069587860406","7.02677845899117","5.87358862642003","7.06594486746699","5.37146389215631","6.93359905037503","5.96951440961181","6.72901826064655","7.05393879660995","6.23873314104261","6.59064755842752","6.94621988220107","6.2792885688829"
"ACVR1B","4.88101067904855","4.85854650413822","4.9746935660028","5.09536289404666","5.02017772058807","4.96533533779454","4.66722765636625","4.38568661809726","4.470569946648","4.60677899630396","4.47324044622324","4.82647986068851","4.72393371593826","4.77261391251512","4.74420356673289","4.46920246298831","5.06727189552906","4.91236464764782","5.02298775033012","5.11541951288183","4.58235347805429","4.7493850315235","5.03367190860463","4.89302630976321","5.32826253718814","5.19031456117505","4.79257816905755","4.73233535224116","4.6502176444957","4.92016235980464","4.74829353634854","4.77238418185022","4.50657836770646","4.68186973083863","4.61599287440695","4.66715967712115","4.66474213060475","4.35329347004119","4.26667236136904","4.47008626536533","4.55181595852231","4.69267366147522","4.41595864731439","4.57945693781886"
"ADIPOQ","3.29035874420367","3.51545423060123","3.94474770565695","3.24636649159727","3.61265249591675","3.45680298690817","3.35807156670592","3.35852924716534","3.62125596087137","3.6889534596042","3.05450680920661","3.22324598438976","3.5284695759552","3.03379051723472","3.81059216417889","3.25466024695201","2.89255967511091","3.42472087791758","3.61854931422422","3.57198459518465","3.74825435656452","3.15207031744483","3.73840845206162","3.44997730788047","3.46666354874644","3.57981011585749","3.41031670070958","3.55500388251135","3.58196952009972","3.84385358750814","3.5059703634836","3.66008102571334","2.89176637907691","3.40630398180497","3.47557476099203","3.71217603122631","3.37682514940694","3.56371805546878","3.33900941931617","3.28860454681921","3.16650721477938","3.59750998637937","3.42613865022021","3.07459344175307"
"ADM","8.85968822079437","10.1530668299388","10.2782088219449","10.28027699767","9.82249321301355","9.13606568009543","10.2419321195448","10.1644364460003","9.58021084198648","8.98891415987911","9.47757948579978","9.31530515663221","9.91072638164592","9.19006898756689","8.87153626750113","9.054211827691","9.03651592707956","10.3582481035092","9.50713483782099","9.65561375795425","10.127387053487","10.077462451387","9.92765795390285","9.75077665877013","9.96890780963336","10.3764134085137","8.85600899319191","10.1469438300363","10.1968223136065","9.51807655663138","9.26219020928262","9.66294537403915","8.6943238719194","9.30409772967467","9.76532763103257","8.8926534977447","9.30409772967467","9.23012016659155","9.19814385752795","9.69534777599839","9.48623120976525","9.27617382744847","9.32788956263707","9.39481495330072"
"ANGPTL2","3.63929080472481","4.08951234472105","3.96629863200838","3.96924653225165","3.89754919183933","3.72510957768122","3.81740012530145","4.10740798268914","3.87889743020669","3.6412998321284","3.83466709470935","3.40981476570551","3.68241024715781","3.44476461603255","3.90452759388027","3.61454340018931","4.0609848512966","4.04637658337997","4.35307758554693","3.78305590037836","3.66522131465524","3.79722352757034","3.75464458556249","4.13558620984998","3.53801043075901","2.95229385208129","3.58093409762538","3.81494719461719","3.63989978865322","4.28344154368323","4.08550313536731","3.89244538458152","4.0523221122627","3.87419920652132","3.46237611143462","3.52969387210197","3.28685361922387","3.58802230351846","3.84183240194584","3.94725621910499","3.67095842692469","3.74984087154855","3.81114178467982","3.86937659171169"
"ANGPTL8","3.84193620446873","3.83378649231058","3.55906732706632","4.10905604424229","4.19371894059885","3.81627283163477","3.92976233490483","4.69447725556613","3.91731998038813","3.87040562463441","3.86394416085269","3.9375734044722","3.76048176170497","3.95467439194603","3.63789973018207","4.46455475006596","4.37003199377674","3.46487069248103","4.09051079448821","4.4228822371901","3.94843498060952","4.0743664139695","4.03072129182406","3.86320721490147","3.60437591169436","3.96379724725399","3.92797268852248","4.21288696808022","3.79702376434504","4.13585387073639","3.83750999053588","3.51901437056558","3.91437129363586","3.88176467803488","4.1080626911618","4.12187413097859","4.26091199392065","3.78899929989357","4.2505372442486","3.64272561221574","3.80425457371716","4.01504142075886","3.7417867033136","4.20198045805616"
"AQP10","4.11489548425408","5.16544160010109","5.01717442282118","6.10118703050663","6.4980865139669","5.0852593277377","5.2604405948165","4.86897216163497","3.87475366584918","5.36774598545805","4.3257004851758","5.45968093109261","4.5256524225974","4.34023535324139","4.33919585824308","5.09646842597469","5.27367084485406","5.95387252212816","6.24895359481545","6.53551669555934","5.23491145741133","3.96763129580855","5.70661114241499","5.03069821288662","5.08804707869369","7.0438215664755","5.32731510093453","4.99252560877785","4.74456115141814","4.73915426617245","6.1863439941046","4.60575533106158","4.15469880310745","4.7763311175723","4.62741920702494","4.76075658901554","4.10211830361895","4.91795073545857","5.11548191644369","4.03572461833943","3.69696366646714","4.37160397933184","3.13752488952518","4.53831879008431"
"ATM","5.50040500806153","5.34684910121858","5.31431528684673","5.51851493168579","5.31504557740006","5.43543184015694","5.79470619794791","5.17189922887078","5.81706974595563","6.36730716146273","6.08265267021591","5.92672612894046","5.76845649302506","5.92467455167745","5.73820846566558","6.29223062412355","5.35985251573001","5.36428470276509","5.14208090453955","5.15781220495953","5.64232831151446","5.89168237864562","5.66120091717276","5.57600701247296","5.56808007141096","5.79166662045115","5.96514220287617","5.32037840901539","5.91286904476477","5.36748984495697","5.42756873795709","5.63648451393395","6.2876648114167","5.56540260374939","5.93739564334893","5.93189298326333","6.09244725054452","5.79060676324994","5.82341881845121","6.11035537043777","5.97499623414138","5.74984832856535","5.80508553922305","5.77224619744424"
"CAMP","7.50751352938359","9.51382041360131","8.5853048123348","9.6228259387658","7.91418475515325","10.6053310123979","7.76749665455116","8.53048885620518","7.36281856054724","7.18736725157138","7.13815434822178","8.06280381016618","7.85621814333542","8.55471665908996","7.42291503630474","7.37551472736528","9.70155000787729","9.80425772635797","9.53393352214955","9.2242781661616","7.61362086482469","7.46277177321906","8.90086087064992","10.4525189860275","8.16305614130895","7.52748632983292","7.8636749980119","7.10200010492827","7.87761439707364","8.21078457608905","7.43977381687175","7.66119050093945","7.61745945269485","8.38851052710491","7.83965882405391","7.72905252061052","7.65605142233378","8.23829172311999","7.16615100149794","7.31674658302102","7.49837174064823","8.1817514863245","7.98144601101674","8.60980764784583"
"CCNA2","4.37404747416517","4.8995137772872","4.90217309181675","4.45734650868695","5.00979106505086","4.62582235280549","4.42982395891893","4.71654114472374","4.41542058521386","4.33194487135292","4.56703796471312","4.05387251892126","3.88246086858611","4.02936510626708","4.39594904425227","3.99919559215883","4.71846454701509","4.78232772617102","4.53757623902679","4.35869922919098","4.40074755080588","4.45678270044632","4.73063585699699","4.3858684678653","4.30021478854881","4.66253782981101","4.52826389747773","4.52304554260016","4.48385667146172","4.46843227007808","4.55658878439341","3.87342803760447","4.28549164231872","4.07501571704582","4.8479744070699","3.89580179000973","4.44217587828351","4.85864639713286","4.48783881619158","4.80402068436544","4.43931328132355","3.82571223628183","4.29738399375656","4.39331660887641"
