	control_sample_32
DDX11L1	2.5113917
WASH7P	38.08944078
LOC729737	39.34513663
LOC100133331	1.25569585
LOC101928626	1
MIR6723	3.348522266
LOC100288069	22.18396002
FAM87B	28.46243927
LINC00115	18.83543775
LINC01128	156.9619812
FAM41C	1
LOC100130417	1
SAMD11	2.092826417
NOC2L	119.709671
KLHL17	25.95104757
PLEKHN1	2.929956983
PERM1	1
HES4	4.604218116
ISG15	149.8463714
AGRN	18.41687247
RNF223	1
C1orf159	21.34682945
LINC01342	1
MIR200B	1
MIR200A	1
MIR429	1
TTLL10	1
TNFRSF18	12.97552378
TNFRSF4	20.0911336
SDF4	159.0548077
B3GALT6	102.1299291
FAM132A	1.674261133
UBE2J2	161.1476341
SCNN1D	9.208436233
ACAP3	113.8497571
PUSL1	25.53248228
CPSF3L	200.0742054
CPTP	45.2050506
TAS1R3	8.371305666
DVL1	127.2438461
MXRA8	25.113917
AURKAIP1	117.6168446
CCNL2	668.0301922
LOC148413	103.385625
MRPL20	96.68858045
ANKRD65	1
TMEM88B	1
LOC102724312	1
VWA1	1
ATAD3C	4.185652833
ATAD3B	53.57635626
ATAD3A	39.76370191
TMEM240	1
SSU72	138.1265435
C1orf233	1.674261133
MIB2	144.823588
MMP23B	1
MMP23A	1
CDK11B	55.66918268
SLC35E2B	293.4142636
CDK11A	53.99492155
SLC35E2	143.5678922
NADK	984.0469811
GNB1	1258.625807
CALML6	1
TMEM52	1
CFAP74	1.25569585
GABRD	1
PRKCZ	49.80926871
FAAP20	30.55526568
SKI	116.3611488
MORN1	20.50969888
LOC100129534	6.697044533
RER1	432.7965029
PEX10	20.50969888
PLCH2	63.62192306
PANK4	190.0286386
HES5	1
LOC115110	50.64639928
TNFRSF14	320.621007
LOC100996583	20.50969888
FAM213B	26.36961285
MMEL1	1
TTC34	1
ACTRT2	1
LINC00982	1
PRDM16	1.25569585
MIR4251	1
ARHGEF16	1
MEGF6	340.2935753
MIR551A	1
TPRG1L	431.1222418
WRAP73	105.8970167
TP73	8.371305666
TP73-AS1	70.73753288
CCDC27	1
SMIM1	156.1248507
LRRC47	190.8657692
CEP104	141.4750658
DFFB	73.66748986
C1orf174	102.5484944
LINC01134	1.25569585
LINC01346	1
LOC284661	1
AJAP1	1
MIR4417	1
MIR4689	1
NPHP4	33.06665738
KCNAB2	412.7053693
CHD5	2.929956983
RPL22	932.9820165
LOC102724450	1
RNF207	5.859913966
ICMT	236.4893851
LINC00337	1
HES3	1
GPR153	5.441348683
ACOT7	13.81265435
HES2	1
ESPN	62.36622721
MIR4252	1
TNFRSF25	164.9147216
PLEKHG5	12.13839322
NOL9	274.1602606
TAS1R1	1.674261133
ZBTB48	160.7290688
KLHL21	355.3619255
PHF13	87.48014421
THAP3	51.90209513
DNAJC11	89.99153591
LOC100505887	1
CAMTA1	71.57466345
VAMP3	367.5003187
PER3	81.62023025
UTS2	44.36792003
TNFRSF9	46.04218116
PARK7	243.6049949
ERRFI1	7.5341751
LOC102724539	1
SLC45A1	1.25569585
RERE	365.4074923
LOC102724552	30.55526568
ENO1	2624.822892
MIR6728	1
ENO1-AS1	1
CA6	38.92657135
SLC2A7	2.092826417
SLC2A5	25.113917
GPR157	7.115609816
MIR34A	1
H6PD	206.77125
SPSB1	12.13839322
LOC100506022	1
SLC25A33	23.43965587
TMEM201	9.208436233
PIK3CD	1487.162452
PIK3CD-AS1	71.99322873
PIK3CD-AS2	12.5569585
CLSTN1	316.8539195
CTNNBIP1	46.04218116
LZIC	118.4539752
NMNAT1	92.08436233
MIR5697	1
RBP7	23.02109058
UBE4B	262.8589979
KIF1B	406.0083248
RNU6-2	47.7164423
PGD	850.1060904
APITD1	1
CORT	1.25569585
DFFA	94.59575403
PEX14	21.34682945
CASZ1	29.29956983
C1orf127	2.5113917
TARDBP	927.1221025
MASP2	58.18057438
SRM	27.6253087
EXOSC10	348.2463157
MTOR	478.8386841
MTOR-AS1	5.441348683
ANGPTL7	15.48691548
UBIAD1	87.06157893
PTCHD2	1
LOC101929181	1
FBXO2	4.185652833
FBXO44	47.7164423
FBXO6	56.50631325
MAD2L2	64.87761891
DRAXIN	4.604218116
AGTRAP	159.0548077
C1orf167	1.25569585
LOC102724659	1
MTHFR	220.5839043
CLCN6	54.83205211
NPPA-AS1	1.674261133
NPPA	1
NPPB	1
KIAA2013	198.3999443
PLOD1	170.7746356
MFN2	748.8132918
MIIP	167.007548
TNFRSF8	55.2506174
TNFRSF1B	1293.366725
MIR4632	1
VPS13D	1269.089939
DHRS3	97.9442763
MIR6730	1
AADACL4	1
AADACL3	1
C1orf158	1
PRAMEF12	1
PRAMEF1	1
PRAMEF11	1
PRAMEF2	1
PRAMEF4	1
PRAMEF6	1
HNRNPCL2	1
PRAMEF17	1
LRRC38	1
PDPN	1
PRDM2	473.8159007
KAZN	5.0227834
TMEM51-AS1	1
TMEM51	2.5113917
C1orf195	1
FHAD1	3.348522266
EFHD2	727.8850277
CTRC	1
CELA2A	1
CELA2B	2.092826417
CASP9	84.55018723
DNAJC16	200.0742054
AGMAT	47.29787701
DDI2	205.0969888
RSC1A1	92.50292761
PLEKHM2	224.7695571
SLC25A34	3.76708755
TMEM82	1
FBLIM1	1
UQCRHL	7.952740383
FLJ37453	49.39070343
SPEN	1035.111946
MIR5096	3.348522266
ZBTB17	185.4244205
C1orf64	1
HSPB7	1
CLCNKA	1
CLCNKB	1
FAM131C	1
EPHA2	1
ARHGEF19	24.27678643
RSG1	7.952740383
FBXO42	326.480921
SZRD1	129.7552378
SPATA21	5.441348683
NECAP2	536.6006932
CROCCP3	125.1510197
FAM231B	1
MIR3675	1
NBPF1	213.8868598
CROCCP2	96.68858045
MST1P2	14.23121963
ESPNP	3.348522266
MST1L	12.5569585
CROCC	93.34005818
MFAP2	1
ATP13A2	67.8075759
SDHB	265.7889549
PADI2	255.3248228
PADI1	1
PADI3	1
PADI4	195.051422
PADI6	1
RCC2	434.0521988
ARHGEF10L	82.03879553
ACTL8	1
LOC101927876	1
IGSF21	1
KLHDC7A	1.25569585
PAX7	1
TAS1R2	1
ALDH4A1	20.92826417
MIR1290	1
