genes,GSM399666,GSM399667,GSM399669,GSM399676,GSM399679,GSM399682,GSM399685,GSM399689,GSM399717,GSM399718,GSM399719,GSM399761,GSM399762,GSM399763,GSM399765,GSM399766
A1BG,3.290725773,3.176033034,3.709401052,3.310105573,3.086929208,3.12459902,3.20043094,3.279800176,3.20784867,3.081892186,3.376201672,3.058184506,3.187852581,3.154678509,3.322566587,3.007022447
A1BG-AS1,3.172748276,3.132175851,2.961082245,2.977100081,2.700493877,2.733060656,2.992544187,2.99463881,3.263005808,3.014981166,2.634188735,2.972308497,2.703892574,2.930652821,2.674097561,2.899190878
A1CF,2.048047454,2.489426368,2.354682214,2.410734624,2.366252809,2.393994059,2.1659639,2.35458095,2.528704974,2.346657437,2.124909357,2.227566629,2.393200177,2.10124501,2.292070628,2.346708971
A2M,2.704752584,2.35178292,2.125656837,2.487326402,2.170692108,2.209070805,2.377610222,2.882323035,2.38265042,2.28194093,2.035422517,1.932490131,1.862117023,2.209605773,2.318183208,2.303828198
A2M-AS1,6.490554511,5.980771073,5.463074606,4.495170169,4.135280372,4.917467521,5.37090961,5.888211115,6.818920356,7.892732313,5.522203099,6.319692944,5.870997595,7.82177378,7.776928777,6.897573492
A2ML1,1.697611099,1.860800353,1.588058367,1.673672496,1.720831356,1.669023654,1.720048014,1.543951155,1.915958427,1.749462602,1.883738062,1.590258325,1.626785393,1.572528178,1.558763925,1.698766087
A2MP1,3.23846009,3.61900695,3.45564429,3.538626714,3.420880842,3.278387047,3.663550149,3.723934143,3.838225355,2.913343135,3.283894103,3.246681869,3.286335914,3.115009126,3.364949014,3.204626453
A4GALT,4.054386558,4.157431083,4.130247719,3.870606549,4.27752498,3.495183556,3.888657472,4.103549644,4.084338481,3.822762918,3.868474397,3.980271901,3.962760926,4.193759662,3.92449662,3.822762918
A4GNT,2.640193018,2.738540816,2.171428763,2.929328067,2.585944063,2.871129793,2.631563772,3.286141381,3.226364462,2.512674586,2.230036796,2.324135592,2.415900647,2.41540113,2.660868456,2.573532933
AA06,2.413767189,2.563639363,2.3745867,2.048685963,2.387383279,2.524973922,2.460549439,2.6908497,2.645385735,2.362701711,2.110605313,2.330654823,2.401466695,2.362982497,2.305561975,1.915202357
AAAS,5.309104163,5.181692964,5.220598016,5.496066172,5.149093369,5.203218028,5.209023691,5.275377787,5.142593394,5.239341862,4.97345093,4.466715888,4.809096261,4.686349863,4.923518705,5.099438116
